date,entity_name,location_address,location_coordinates
2016-01-07,Angela Merkel,"United Kingdom, London","[-0.1276474, 51.5073219]"
2016-01-17,Andrzej Duda,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-01-18,Andrzej Duda,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-01-25,Hassan Rouhani,"Italy, Rome","[12.4829321, 41.8933203]"
2016-01-26,Hassan Rouhani,"Italy, Rome","[12.4829321, 41.8933203]"
2016-01-26,Hassan Rouhani,"Vatican City, Vatican City","[12.453152716779822, 41.90381485]"
2016-01-27,Hassan Rouhani,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-01-27,Hassan Rouhani,"Italy, Rome","[12.4829321, 41.8933203]"
2016-01-28,Hassan Rouhani,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-01-29,Hassan Rouhani,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-02-04,Angela Merkel,"United Kingdom, London","[-0.1276474, 51.5073219]"
2016-02-07,Angela Merkel,"France, Strasbourg","[7.7507127, 48.584614]"
2016-02-08,Angela Merkel,"Turkey, Ankara","[32.8540482, 39.9207886]"
2016-02-12,Andrzej Duda,"Germany, Munich","[11.5753822, 48.1371079]"
2016-02-13,Andrzej Duda,"Germany, Munich","[11.5753822, 48.1371079]"
2016-02-18,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-02-19,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-02-28,Andrzej Duda,"Slovakia, Tatranská Lomnica","[20.2791933, 49.1655267]"
2016-03-04,Angela Merkel,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-03-07,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-03-14,Andrzej Duda,"Czech Republic, Prague","[14.4212535, 50.0874654]"
2016-03-15,Andrzej Duda,"Czech Republic, Prague","[14.4212535, 50.0874654]"
2016-03-17,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-03-17,Andrzej Duda,"Hungary, Budapest","[19.0403594, 47.4979937]"
2016-03-18,Angela Merkel,"Belgium, Brussels","[4.351697, 50.8465573]"
2016-03-18,Andrzej Duda,"Hungary, Budapest","[19.0403594, 47.4979937]"
2016-03-19,Andrzej Duda,"Hungary, Budapest","[19.0403594, 47.4979937]"
2016-03-25,Hassan Rouhani,"Pakistan, Islamabad","[73.0651511, 33.6938118]"
2016-03-26,Hassan Rouhani,"Pakistan, Islamabad","[73.0651511, 33.6938118]"
2016-03-30,Andrzej Duda,"United States, Washington","[-77.0365427, 38.8950368]"
2016-03-31,Andrzej Duda,"United States, Washington","[-77.0365427, 38.8950368]"
2016-04-01,Andrzej Duda,"United States, Washington","[-77.0365427, 38.8950368]"
2016-04-07,Angela Merkel,"France, Metz","[6.1763552, 49.1196964]"
2016-04-13,Hassan Rouhani,"Turkey, Istanbul","[28.9651646, 41.0096334]"
2016-04-14,Hassan Rouhani,"Turkey, Istanbul","[28.9651646, 41.0096334]"
2016-04-15,Hassan Rouhani,"Turkey, Istanbul","[28.9651646, 41.0096334]"
2016-04-17,Andrzej Duda,"Bulgaria, Sofia","[23.3221789, 42.6978634]"
2016-04-18,Andrzej Duda,"Bulgaria, Sofia","[23.3221789, 42.6978634]"
2016-04-21,Angela Merkel,"Netherlands, Eindhoven","[5.478633, 51.4392648]"
2016-04-21,Angela Merkel,"Netherlands, Middelburg","[3.6136962, 51.4997302]"
2016-04-23,Angela Merkel,"Turkey, Gaziantep","[37.3792617, 37.0628317]"
2016-04-26,Andrzej Duda,"Portugal, Lisbon","[-9.1365919, 38.7077507]"
2016-04-27,Andrzej Duda,"Portugal, Lisbon","[-9.1365919, 38.7077507]"
2016-05-05,Angela Merkel,"Italy, Rome","[12.4829321, 41.8933203]"
2016-05-06,Angela Merkel,"Vatican, Vatican City","[12.453152716779822, 41.90381485]"
2016-05-09,Andrzej Duda,"Canada, Ottawa","[-75.6900574, 45.4211435]"
2016-05-09,Andrzej Duda,"Canada, Toronto","[-79.3839347, 43.6534817]"
2016-05-10,Andrzej Duda,"Canada, Ottawa","[-75.6900574, 45.4211435]"
2016-05-10,Andrzej Duda,"Canada, Toronto","[-79.3839347, 43.6534817]"
2016-05-11,Andrzej Duda,"Canada, Ottawa","[-75.6900574, 45.4211435]"
2016-05-11,Andrzej Duda,"Canada, Toronto","[-79.3839347, 43.6534817]"
2016-05-12,Andrzej Duda,"Canada, Ottawa","[-75.6900574, 45.4211435]"
2016-05-12,Andrzej Duda,"Canada, Toronto","[-79.3839347, 43.6534817]"
2016-05-16,Andrzej Duda,"Italy, Monte Cassino","[13.8133251, 41.4899454]"
2016-05-16,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-05-17,Andrzej Duda,"Italy, Monte Cassino","[13.8133251, 41.4899454]"
2016-05-17,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-05-18,Andrzej Duda,"Italy, Monte Cassino","[13.8133251, 41.4899454]"
2016-05-18,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-05-22,Andrzej Duda,"Norway, Håkvik","[17.3120277, 68.4026368]"
2016-05-22,Andrzej Duda,"Norway, Oslo","[10.7389701, 59.9133301]"
2016-05-22,Angela Merkel,"Turkey, Istanbul","[28.9651646, 41.0096334]"
2016-05-23,Andrzej Duda,"Norway, Håkvik","[17.3120277, 68.4026368]"
2016-05-23,Andrzej Duda,"Norway, Oslo","[10.7389701, 59.9133301]"
2016-05-23,Angela Merkel,"Turkey, Istanbul","[28.9651646, 41.0096334]"
2016-05-24,Andrzej Duda,"Norway, Håkvik","[17.3120277, 68.4026368]"
2016-05-24,Andrzej Duda,"Norway, Oslo","[10.7389701, 59.9133301]"
2016-05-25,Andrzej Duda,"Norway, Håkvik","[17.3120277, 68.4026368]"
2016-05-25,Andrzej Duda,"Norway, Oslo","[10.7389701, 59.9133301]"
2016-05-26,Angela Merkel,"Japan, Shima","[136.8196451, 34.3411841]"
2016-05-27,Angela Merkel,"Japan, Shima","[136.8196451, 34.3411841]"
2016-05-29,Angela Merkel,"France, Verdun","[5.3867277, 49.1589278]"
2016-06-01,Angela Merkel,"Switzerland, Pollegio","[8.9434475, 46.3649243]"
2016-06-01,Angela Merkel,"Switzerland, Schattdorf","[8.6509309, 46.8636973]"
2016-06-03,Andrzej Duda,"Italy, Naples","[14.2487826, 40.8359336]"
2016-06-03,Andrzej Duda,"Italy, Pompei","[14.5006415, 40.7491267]"
2016-06-03,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-06-03,Andrzej Duda,"Vatican, Vatican City","[12.453152716779822, 41.90381485]"
2016-06-04,Andrzej Duda,"Italy, Naples","[14.2487826, 40.8359336]"
2016-06-04,Andrzej Duda,"Italy, Pompei","[14.5006415, 40.7491267]"
2016-06-04,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-06-04,Andrzej Duda,"Vatican, Vatican City","[12.453152716779822, 41.90381485]"
2016-06-05,Andrzej Duda,"Italy, Naples","[14.2487826, 40.8359336]"
2016-06-05,Andrzej Duda,"Italy, Pompei","[14.5006415, 40.7491267]"
2016-06-05,Andrzej Duda,"Italy, Rome","[12.4829321, 41.8933203]"
2016-06-05,Andrzej Duda,"Vatican, Vatican City","[12.453152716779822, 41.90381485]"
2016-06-08,Andrzej Duda,"Denmark, Copenhagen","[12.5700724, 55.6867243]"
2016-06-09,Andrzej Duda,"Denmark, Copenhagen","[12.5700724, 55.6867243]"
2016-06-10,Andrzej Duda,"Denmark, Copenhagen","[12.5700724, 55.6867243]"
2016-06-12,Andrzej Duda,"France, Nice","[7.2683912, 43.7009358]"
2016-06-12,Angela Merkel,"People's Republic of China, Beijing","[116.3912757, 39.906217]"
2016-06-12,Angela Merkel,"People's Republic of China, Shenyang","[123.458674, 41.6749893]"
2016-06-13,Angela Merkel,"People's Republic of China, Beijing","[116.3912757, 39.906217]"
2016-06-13,Angela Merkel,"People's Republic of China, Shenyang","[123.458674, 41.6749893]"
2016-06-14,Angela Merkel,"People's Republic of China, Beijing","[116.3912757, 39.906217]"
2016-06-14,Angela Merkel,"People's Republic of China, Shenyang","[123.458674, 41.6749893]"
2016-06-16,Andrzej Duda,"Germany, Berlin","[13.3888599, 52.5170365]"
2016-06-17,Andrzej Duda,"Germany, Berlin","[13.3888599, 52.5170365]"
2016-06-26,Andrzej Duda,"Estonia, Tallinn","[24.7453688, 59.4372155]"
2016-06-29,Andrzej Duda,"Slovakia, Bratislava","[17.1093063, 48.1516988]"
2016-06-30,Andrzej Duda,"Slovakia, Bratislava","[17.1093063, 48.1516988]"
2016-07-04,Angela Merkel,"France, Paris","[2.3200410217200766, 48.8588897]"
2016-07-08,Angela Merkel,"Poland, Warsaw","[21.0067249, 52.2319581]"
2016-07-09,Angela Merkel,"Poland, Warsaw","[21.0067249, 52.2319581]"
2016-07-13,Angela Merkel,"Kyrgyzstan, Bishkek","[74.6070079, 42.8765615]"
2016-07-14,Angela Merkel,"Kyrgyzstan, Bishkek","[74.6070079, 42.8765615]"
2016-07-15,Angela Merkel,"Mongolia, Ulaanbaatar","[107.02225913456641, 47.94909925]"
2016-07-16,Angela Merkel,"Mongolia, Ulaanbaatar","[107.02225913456641, 47.94909925]"
2016-08-07,Hassan Rouhani,"Azerbaijan, Baku","[50.27770925520258, 40.163999149999995]"
2016-08-08,Hassan Rouhani,"Azerbaijan, Baku","[50.27770925520258, 40.163999149999995]"
2016-08-09,Hassan Rouhani,"Azerbaijan, Baku","[50.27770925520258, 40.163999149999995]"
2016-08-22,Angela Merkel,"Italy, Ventotene","[13.431213, 40.796002]"
2016-08-23,Andrzej Duda,"Ukraine, Kyiv","[30.5241361, 50.4500336]"
2016-08-24,Angela Merkel,"Estonia, Tallinn","[24.7453688, 59.4372155]"
2016-08-24,Andrzej Duda,"Ukraine, Kyiv","[30.5241361, 50.4500336]"
2016-08-25,Andrzej Duda,"Croatia, Dubrovnik","[18.094680152605108, 42.64873625]"
2016-08-25,Angela Merkel,"Czech Republic, Prague","[14.4212535, 50.0874654]"
2016-08-25,Angela Merkel,"Estonia, Tallinn","[24.7453688, 59.4372155]"
2016-08-26,Andrzej Duda,"Croatia, Dubrovnik","[18.094680152605108, 42.64873625]"
2016-08-26,Angela Merkel,"Poland, Warsaw","[21.0067249, 52.2319581]"
2016-08-31,Angela Merkel,"Italy, Maranello","[10.8663607, 44.5255217]"
2016-09-02,Angela Merkel,"France, Évian-les-Bains","[6.5897931, 46.400979]"
2016-09-04,Angela Merkel,"People's Republic of China, Hangzhou","[120.2052342, 30.2489634]"
2016-09-05,Angela Merkel,"People's Republic of China, Hangzhou","[120.2052342, 30.2489634]"
